Date,ISPO
"Dec 18, 2023",0.8300
"Dec 15, 2023",0.8500
"Dec 14, 2023",0.8500
"Dec 13, 2023",0.8900
"Dec 12, 2023",0.8900
"Dec 11, 2023",0.9000
"Dec 08, 2023",0.8100
"Dec 07, 2023",0.8900
"Dec 06, 2023",0.9500
"Dec 05, 2023",0.8500
"Dec 04, 2023",0.8900
"Dec 01, 2023",0.8600
"Nov 30, 2023",0.8800
"Nov 29, 2023",0.8800
"Nov 28, 2023",0.9500
"Nov 27, 2023",0.8500
"Nov 24, 2023",0.9200
"Nov 22, 2023",0.9300
"Nov 21, 2023",0.9100
"Nov 20, 2023",0.9100
"Nov 17, 2023",0.9300
"Nov 16, 2023",0.8600
"Nov 15, 2023",0.8600
"Nov 14, 2023",0.8900
"Nov 13, 2023",0.8700
"Nov 10, 2023",0.8500
"Nov 09, 2023",0.8500
"Nov 08, 2023",0.8500
"Nov 07, 2023",0.9600
"Nov 06, 2023",0.9100
"Nov 03, 2023",0.9900
"Nov 02, 2023",0.9500
"Nov 01, 2023",0.9600
"Oct 31, 2023",0.9700
"Oct 30, 2023",1.0500
"Oct 27, 2023",0.9600
"Oct 26, 2023",1.0800
"Oct 25, 2023",1.0200
"Oct 24, 2023",1.0300
"Oct 23, 2023",1.0600
"Oct 20, 2023",1.0500
"Oct 19, 2023",1.0300
"Oct 18, 2023",1.0400
"Oct 17, 2023",1.0800
"Oct 16, 2023",1.1000
"Oct 13, 2023",1.1000
"Oct 12, 2023",1.1000
"Oct 11, 2023",1.1000
"Oct 10, 2023",1.1000
"Oct 09, 2023",1.1000
"Oct 06, 2023",1.1000
"Oct 05, 2023",1.1000
"Oct 04, 2023",1.1000
"Oct 03, 2023",1.1300
"Oct 02, 2023",1.1200
"Sep 29, 2023",1.1200
"Sep 28, 2023",1.1500
"Sep 27, 2023",1.1300
"Sep 26, 2023",1.1300
"Sep 25, 2023",1.1500
"Sep 22, 2023",1.1400
"Sep 21, 2023",1.1400
"Sep 20, 2023",1.1600
"Sep 19, 2023",1.1300
"Sep 18, 2023",1.1300
"Sep 15, 2023",1.1300
"Sep 14, 2023",1.1400
"Sep 13, 2023",1.1600
"Sep 12, 2023",1.1600
"Sep 11, 2023",1.1200
"Sep 08, 2023",1.1800
"Sep 07, 2023",1.1900
"Sep 06, 2023",1.2100
"Sep 05, 2023",1.2300
"Sep 01, 2023",1.2600
"Aug 31, 2023",1.2400
"Aug 30, 2023",1.2600
"Aug 29, 2023",1.2400
"Aug 28, 2023",1.2100
"Aug 25, 2023",1.2300
"Aug 24, 2023",1.2100
"Aug 23, 2023",1.2100
"Aug 22, 2023",1.2300
"Aug 21, 2023",1.2100
"Aug 18, 2023",1.2500
"Aug 17, 2023",1.2700
"Aug 16, 2023",1.2100
"Aug 15, 2023",1.1800
"Aug 14, 2023",1.2900
"Jan 04, 2024",1.4700
"Jan 03, 2024",1.4990
"Jan 02, 2024",1.4550
"Dec 29, 2023",1.2500
"Dec 28, 2023",1.2500
"Dec 27, 2023",1.2400
"Dec 26, 2023",1.2400
"Dec 22, 2023",1.2400
"Dec 21, 2023",1.2500
"Dec 20, 2023",1.3400
"Dec 19, 2023",1.3400
"Dec 18, 2023",1.4200
"Dec 15, 2023",1.4600
"Dec 14, 2023",1.4900
"Dec 13, 2023",1.5000
"Dec 12, 2023",1.1600
"Dec 11, 2023",1.1660
"Dec 08, 2023",1.2100
"Dec 07, 2023",1.1400
"Dec 06, 2023",1.2400
"Dec 05, 2023",1.1400
"Dec 04, 2023",1.1400
"Dec 01, 2023",1.1400
"Nov 30, 2023",1.1300
"Nov 29, 2023",1.1800
"Nov 28, 2023",1.2200
"Nov 27, 2023",1.1270
"Nov 24, 2023",1.1000
"Nov 22, 2023",1.1600
"Nov 21, 2023",1.0600
"Nov 20, 2023",1.0600
"Nov 17, 2023",1.0500
"Nov 16, 2023",1.0600
"Nov 15, 2023",1.0600
"Nov 14, 2023",1.0600
"Nov 13, 2023",1.0600
"Nov 10, 2023",1.0600
"Nov 09, 2023",1.0700
"Nov 08, 2023",1.0600
"Nov 07, 2023",1.0600
"Nov 06, 2023",1.0700
"Nov 03, 2023",1.1800
"Nov 02, 2023",1.0900
"Nov 01, 2023",1.0900
"Oct 31, 2023",1.0900
"Oct 30, 2023",1.0600
"Oct 27, 2023",1.0600
"Oct 26, 2023",1.1000
"Oct 25, 2023",1.1600
"Oct 24, 2023",1.0900
"Oct 23, 2023",1.0900
"Oct 20, 2023",1.0600
"Oct 19, 2023",1.0900
"Oct 18, 2023",1.1200
"Oct 17, 2023",1.1700
"Oct 16, 2023",1.1700
"Oct 13, 2023",1.1550
"Oct 12, 2023",1.1700
"Oct 11, 2023",1.1300
"Oct 10, 2023",1.1900
"Oct 09, 2023",1.1100
"Oct 06, 2023",1.1300
"Oct 05, 2023",1.1800
"Oct 04, 2023",1.1800
"Oct 03, 2023",1.1600
"Oct 02, 2023",1.2200
"Sep 29, 2023",1.1500
"Sep 28, 2023",1.1000
"Sep 27, 2023",1.1300
"Sep 26, 2023",1.1300
"Sep 25, 2023",1.0900
"Sep 22, 2023",1.1600
"Sep 21, 2023",1.2000
"Sep 20, 2023",1.1020
"Sep 19, 2023",1.1600
"Sep 18, 2023",1.1900
"Sep 15, 2023",1.0950
"Sep 14, 2023",1.0800
"Sep 13, 2023",1.0750
"Sep 12, 2023",1.0560
"Sep 11, 2023",1.0300
"Sep 08, 2023",1.0100
"Sep 07, 2023",1.0300
"Sep 06, 2023",1.0500
"Sep 05, 2023",0.9550
"Sep 01, 2023",0.9550
"Aug 31, 2023",0.8960
"Aug 30, 2023",0.9100
"Aug 29, 2023",0.9100
"Aug 28, 2023",0.8800
"Aug 25, 2023",0.8800
"Aug 24, 2023",0.9000
"Aug 23, 2023",0.9100
"Aug 22, 2023",1.0100
"Aug 21, 2023",0.9800
"Aug 18, 2023",1.0100
"Aug 17, 2023",1.0300
"Aug 16, 2023",0.9300
"Aug 15, 2023",1.0100
"Aug 14, 2023",1.0000
"Jan 04, 2024",3.3300
"Jan 03, 2024",3.4500
"Jan 02, 2024",3.4400
"Dec 29, 2023",3.3500
"Dec 28, 2023",3.5900
"Dec 27, 2023",3.6000
"Dec 26, 2023",3.6900
"Dec 22, 2023",3.7400
"Dec 21, 2023",3.6700
"Dec 20, 2023",3.8100
"Dec 19, 2023",3.7600
"Dec 18, 2023",3.7900
"Dec 15, 2023",3.7300
"Dec 14, 2023",3.7900
"Dec 13, 2023",3.5200
"Dec 12, 2023",3.4400
"Dec 11, 2023",3.4900
"Dec 08, 2023",3.3700
"Dec 07, 2023",3.2400
"Dec 06, 2023",3.2500
"Dec 05, 2023",3.2000
"Dec 04, 2023",3.3000
"Dec 01, 2023",3.0500
"Nov 30, 2023",2.9400
"Nov 29, 2023",3.0200
"Nov 28, 2023",2.8100
"Nov 27, 2023",2.7100
"Nov 24, 2023",2.7500
"Nov 22, 2023",2.7500
"Nov 21, 2023",2.6600
"Nov 20, 2023",2.8200
"Nov 17, 2023",2.8200
"Nov 16, 2023",2.7000
"Nov 15, 2023",2.9500
"Nov 14, 2023",2.7600
"Nov 13, 2023",2.6700
"Nov 10, 2023",2.7200
"Nov 09, 2023",2.7000
"Nov 08, 2023",2.8700
"Nov 07, 2023",2.8800
"Nov 06, 2023",2.8600
"Nov 03, 2023",2.8800
"Nov 02, 2023",2.8900
"Nov 01, 2023",2.8200
"Oct 31, 2023",2.8700
"Oct 30, 2023",2.6800
"Oct 27, 2023",2.7200
"Oct 26, 2023",2.6600
"Oct 25, 2023",2.7900
"Oct 24, 2023",2.7300
"Oct 23, 2023",2.7800
"Oct 20, 2023",2.8700
"Oct 19, 2023",2.8700
"Oct 18, 2023",3.0000
"Oct 17, 2023",3.0000
"Oct 16, 2023",2.9000
"Oct 13, 2023",2.8200
"Oct 12, 2023",2.8100
"Oct 11, 2023",2.8300
"Oct 10, 2023",2.8300
"Oct 09, 2023",2.8000
"Oct 06, 2023",2.9000
"Oct 05, 2023",2.9100
"Oct 04, 2023",2.8700
"Oct 03, 2023",2.8900
"Oct 02, 2023",2.9400
"Sep 29, 2023",2.9600
"Sep 28, 2023",3.0100
"Sep 27, 2023",3.0100
"Sep 26, 2023",2.9700
"Sep 25, 2023",3.0000
"Sep 22, 2023",2.9700
"Sep 21, 2023",3.0500
"Sep 20, 2023",3.1200
"Sep 19, 2023",3.1300
"Sep 18, 2023",3.2400
"Sep 15, 2023",3.3200
"Sep 14, 2023",3.4600
"Sep 13, 2023",3.4700
"Sep 12, 2023",3.4800
"Sep 11, 2023",3.6000
"Sep 08, 2023",3.6500
"Sep 07, 2023",3.6900
"Sep 06, 2023",3.6000
"Sep 05, 2023",3.7100
"Sep 01, 2023",3.6400
"Aug 31, 2023",3.6300
"Aug 30, 2023",3.5900
"Aug 29, 2023",3.5400
"Aug 28, 2023",3.4900
"Aug 25, 2023",3.4800
"Aug 24, 2023",3.5000
"Aug 23, 2023",3.5200
"Aug 22, 2023",3.5500
"Aug 21, 2023",3.6500
"Aug 18, 2023",3.7200
"Aug 17, 2023",3.7600
"Aug 16, 2023",3.8400
"Aug 15, 2023",3.8500
"Aug 14, 2023",3.8500
"Jan 04, 2024",1.0100
"Jan 03, 2024",1.0290
"Jan 02, 2024",1.0380
"Dec 29, 2023",1.0290
"Dec 28, 2023",1.0290
"Dec 27, 2023",1.0400
"Dec 26, 2023",1.0390
"Dec 22, 2023",1.0390
"Dec 21, 2023",0.9700
"Dec 20, 2023",1.0300
"Dec 19, 2023",1.0400
"Dec 18, 2023",1.0300
"Dec 15, 2023",1.0300
"Dec 14, 2023",1.0500
"Dec 13, 2023",1.0500
"Dec 12, 2023",1.0200
"Dec 11, 2023",1.0480
"Dec 08, 2023",1.0500
"Dec 07, 2023",1.0500
"Dec 06, 2023",1.0700
"Dec 05, 2023",1.0600
"Dec 04, 2023",1.0500
"Dec 01, 2023",1.0500
"Nov 30, 2023",1.0500
"Nov 29, 2023",1.0500
"Nov 28, 2023",1.0600
"Nov 27, 2023",1.0700
"Nov 24, 2023",1.0500
"Nov 22, 2023",1.0500
"Nov 21, 2023",1.0400
"Nov 20, 2023",1.0500
"Nov 17, 2023",1.0800
"Nov 16, 2023",1.0790
"Nov 15, 2023",1.0900
"Nov 14, 2023",1.0900
"Nov 13, 2023",1.1000
"Nov 10, 2023",1.0900
"Nov 09, 2023",1.0900
"Nov 08, 2023",1.1000
"Nov 07, 2023",1.0900
"Nov 06, 2023",1.0800
"Nov 03, 2023",1.0910
"Nov 02, 2023",1.1000
"Nov 01, 2023",1.0700
"Oct 31, 2023",1.0900
"Oct 30, 2023",1.0600
"Oct 27, 2023",1.1000
"Oct 26, 2023",1.0800
"Oct 25, 2023",1.1000
"Oct 24, 2023",1.0980
"Oct 23, 2023",1.0700
"Oct 20, 2023",1.0000
"Oct 19, 2023",0.8800
"Oct 18, 2023",0.9710
"Oct 17, 2023",0.9300
"Oct 16, 2023",1.0300
"Oct 13, 2023",1.0300
"Oct 12, 2023",1.0190
"Oct 11, 2023",0.9900
"Oct 10, 2023",0.9850
"Oct 09, 2023",0.9450
"Oct 06, 2023",0.9000
"Oct 05, 2023",0.9000
"Oct 04, 2023",0.9000
"Oct 03, 2023",0.9000
"Oct 02, 2023",0.9000
"Sep 29, 2023",0.9000
"Sep 28, 2023",0.8800
"Sep 27, 2023",0.8500
"Sep 26, 2023",0.7800
"Sep 25, 2023",0.6900
"Sep 22, 2023",0.6900
"Sep 21, 2023",0.7000
"Sep 20, 2023",0.7200
"Sep 19, 2023",0.7600
"Sep 18, 2023",0.7010
"Sep 15, 2023",0.7550
"Sep 14, 2023",0.7930
"Sep 13, 2023",0.8000
"Sep 12, 2023",0.7770
"Sep 11, 2023",0.7610
"Sep 08, 2023",0.7200
"Sep 07, 2023",0.7240
"Sep 06, 2023",0.7600
"Sep 05, 2023",0.7500
"Sep 01, 2023",0.7490
"Aug 31, 2023",0.6590
"Aug 30, 2023",0.6790
"Aug 29, 2023",0.6070
"Aug 28, 2023",0.5720
"Aug 25, 2023",0.5780
"Aug 24, 2023",0.5600
"Aug 23, 2023",0.5600
"Aug 22, 2023",0.5300
"Aug 21, 2023",0.5450
"Aug 18, 2023",0.5430
"Aug 17, 2023",0.5300
"Aug 16, 2023",0.5300
"Aug 15, 2023",0.5860
"Aug 14, 2023",0.5900
"Jan 03, 2024",9.75
"Jan 02, 2024",9.75
"Dec 29, 2023",9.75
"Dec 28, 2023",9.75
"Dec 27, 2023",9.75
"Dec 26, 2023",9.75
"Dec 22, 2023",9.75
"Dec 21, 2023",9.75
"Dec 20, 2023",9.75
"Dec 19, 2023",9.75
"Dec 18, 2023",9.75
"Dec 15, 2023",9.75
"Dec 14, 2023",9.75
"Dec 13, 2023",9.75
"Dec 12, 2023",9.75
"Dec 11, 2023",9.30
"Dec 08, 2023",9.30
"Dec 07, 2023",9.61
"Dec 06, 2023",9.61
"Dec 05, 2023",9.61
"Dec 04, 2023",9.70
"Dec 01, 2023",9.70
"Nov 30, 2023",9.70
"Nov 29, 2023",9.70
"Nov 28, 2023",9.70
